rank,n_decimal,log_n,largest_prime_factor,sigma_over_n,robin_boundary,robin_index,robin_margin,exponents
1,10080,9.21830854162536,7,3.9000000000000004,3.9561030321767445,1.755814338925297,0.05610303217674417,2^5 3^2 5^1 7^1
2,55440,10.923056633863785,11,4.187012987012988,4.258323018227202,1.7512465148874945,0.07131003121421386,2^4 3^2 5^1 7^1 11^1
3,245520274258227649331638215426908243018324431489025367257867640987122738989476873122857889915173872192676559018842543739713491840000,302.53685652359326,283,10.09310991084928,10.173847404816296,1.766938205250362,0.0807374939670158,2^10 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^1 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1 283^1
4,5646966307939235934627678954818889589421461924247583446930955742703822996757968081825731468048999060431560857433378506013410312320000,305.67235073952236,283,10.111394530252998,10.192211453476942,1.7669497917556438,0.08081692322394396,2^10 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^2 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1 283^1
5,122760137129113824665819107713454121509162215744512683628933820493561369494738436561428944957586936096338279509421271869856745920000,301.8437093430333,283,10.088179226965133,10.169762078662881,1.766784476363254,0.08158285169774793,2^9 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^1 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1 283^1
6,2823483153969617967313839477409444794710730962123791723465477871351911498378984040912865734024499530215780428716689253006705156160000,304.9792035589624,283,10.10645491397051,10.188168080963024,1.7667875076156885,0.08171316699251463,2^9 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^2 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1 283^1
7,491040548516455298663276430853816486036648862978050734515735281974245477978953746245715779830347744385353118037685087479426983680000,303.2300037041532,283,10.09557525279136,10.177923381713537,1.7666620146499739,0.08234812892217747,2^11 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^1 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1 283^1
8,11293932615878471869255357909637779178842923848495166893861911485407645993515936163651462936097998120863121714866757012026820624640000,306.3654979200823,283,10.113864338394238,10.196245667555107,1.7666821102328352,0.08238132916086904,2^11 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^2 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1 283^1
9,867562806566175439334410655218757042467577496427651474409426293240716392188964215981829999700261032482956038935839377172132480000,296.89140962595,281,10.057570791444881,10.140297945671097,1.7665419719026612,0.08272715422621602,2^10 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^1 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1
10,19953944551022035104691445070031411976754282417835983911416804744536477020346176967582089993106003747107988895524305674959047040000,300.0269038418791,281,10.07579102838591,10.159009362300104,1.7664826214933362,0.08321833391419453,2^10 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^2 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1
