epsilon,epsilon_low,epsilon_high,epsilon_in_support_interval,last_prime,next_prime,prime_count,beta_error_e,true_deficit_a,true_bridge_b,true_total_a_plus_b,true_margin_vs_e,cap_deficit_a,cap_bridge_b,cap_total_a_plus_b,cap_margin_vs_e,envelope_log_slack,lower_log_n_slack,max_upper_cap_minus_true,max_true_minus_lower_cap,upper_cap_violations,lower_cap_violations,first_upper_cap_excess_prime,first_lower_cap_gap_prime,max_true_exponent,max_upper_cap_exponent,max_lower_cap_exponent
0.001,0.0009942254630665268,0.0010598555270556749,True,181,191,42,0.01822172732684213,0.018019079199661878,0.011600323390995754,0.02961940259065763,0.0113976752638155,0.018019079199661878,0.011600323390995754,0.02961940259065763,0.0113976752638155,0.0,0.0,0,0,0,0,,,9,9,9
0.0005,0.0004919712848704716,0.0005090932837408336,True,337,347,68,0.008638265432628245,0.011317049645741862,0.004491743941966551,0.01580879358770841,0.007170528155080166,0.011317049645741862,0.004491743941966551,0.01580879358770841,0.007170528155080166,0.0,0.0,0,0,0,0,,,10,10,10
0.0002,0.00019913408791385326,0.00020096521126908314,True,751,757,133,0.006010177802896477,0.008186709650321436,0.0026880284016130756,0.01087473805193451,0.004864560249038034,0.008186709650321436,0.0026880284016130756,0.01087473805193451,0.004864560249038034,0.0,0.0,0,0,0,0,,,11,11,11
0.0001,9.864563511764897e-05,0.00010010989503380297,True,1381,1399,221,0.0033852104769158675,0.0048533846229159424,0.0017040728258801503,0.006557457448796093,0.0031722469718802257,0.0048533846229159424,0.0017040728258801503,0.006557457448796093,0.0031722469718802257,0.0,0.0,0,0,0,0,,,12,12,12
5e-05,4.996357671210609e-05,5.0007771591303577e-05,True,2549,2551,373,0.002224799495487151,0.0034271268166228366,0.00097993437174505,0.004407061188367887,0.002182261692880736,0.0034271268166228366,0.00097993437174505,0.004407061188367887,0.002182261692880736,0.0,0.0,0,0,0,0,,,13,13,13
2e-05,1.9975251624425138e-05,2.009155181053109e-05,True,5749,5779,757,0.0017024777119707402,0.0018901583501220616,0.001137544783806851,0.0030277031339289127,0.0013252254219581726,0.0018901583501220616,0.001137544783806851,0.0030277031339289127,0.0013252254219581726,0.0,0.0,0,0,0,0,,,15,15,15
1e-05,9.999079612199944e-06,1.001762140572468e-05,True,10753,10771,1311,0.001285610004888138,0.0013371385764206491,0.0008068342759826399,0.002143972852403289,0.000858362847515151,0.0013371385764206491,0.0008068342759826399,0.002143972852403289,0.000858362847515151,0.0,0.0,0,0,0,0,,,16,16,16
5e-06,4.999864869138413e-06,5.000956270769676e-06,True,20173,20177,2282,0.0006738254632785434,0.0009256199945012022,0.0003533022604192102,0.0012789222549204125,0.0006050967916418691,0.0009256199945012022,0.0003533022604192102,0.0012789222549204125,0.0006050967916418691,0.0,0.0,0,0,0,0,,,17,17,17
2e-06,1.999917130226266e-06,2.0004811265313583e-06,True,46511,46523,4808,0.00034999484013065185,0.0005486882168572394,0.000157114264083189,0.0007058024809404284,0.00035580764080977653,0.0005486882168572394,0.000157114264083189,0.0007058024809404284,0.00035580764080977653,0.0,0.0,0,0,0,0,,,18,18,18
1e-06,9.9992669514107e-07,1.0001743864143749e-06,True,87833,87853,8529,0.0003033931804115042,0.000387718176408859,0.0001623586657242228,0.0005500768421330818,0.00024668366172157763,0.000387718176408859,0.0001623586657242228,0.0005500768421330818,0.00024668366172157763,0.0,0.0,0,0,0,0,,,19,19,19
5e-07,4.999975191435724e-07,5.000170525814233e-07,True,166357,166363,15201,0.0001494894195062102,0.0002719372118436678,4.0977180079856935e-05,0.00031291439192352474,0.00016342497241731454,0.0002719372118436678,4.0977180079856935e-05,0.00031291439192352474,0.00016342497241731454,0.0,0.0,0,0,0,0,,,20,20,20
2e-07,1.9999974450721168e-07,2.0000529266065954e-07,True,388489,388499,32947,8.614145524576955e-05,0.00016139347919995605,2.4537855218824427e-05,0.00018593133441878047,9.978987917301093e-05,0.00016139347919995605,2.4537855218824427e-05,0.00018593133441878047,9.978987917301093e-05,0.0,0.0,0,0,0,0,,,21,21,21
1e-07,9.999957316962223e-08,1.0000044403041059e-07,True,739951,739957,59528,9.401787205920442e-05,0.00011231799313525923,5.1232150060606024e-05,0.00016355014319586526,6.953227113666084e-05,0.00011231799313525923,5.1232150060606024e-05,0.00016355014319586526,6.953227113666084e-05,0.0,0.0,0,0,0,0,,,22,22,22
5e-08,4.999982395426236e-08,5.00000513652262e-08,True,1412351,1412357,107977,5.8854896458626627e-05,7.609304721178108e-05,3.0321515490463005e-05,0.00010641456270224408,4.7559666243617455e-05,7.609304721178108e-05,3.0321515490463005e-05,0.00010641456270224408,4.7559666243617455e-05,0.0,0.0,0,0,0,0,,,23,23,23
2e-08,1.9999984708852388e-08,2.0000074411401382e-08,True,3329267,3329281,238857,4.845955427112969e-05,4.779950489433563e-05,2.9515934106026874e-05,7.731543900036251e-05,2.885588472923282e-05,4.779950489433563e-05,2.9515934106026874e-05,7.731543900036251e-05,2.885588472923282e-05,0.0,0.0,0,0,0,0,,,25,25,25
1e-08,9.99998345832589e-09,1.0000036799220401e-08,True,6382007,6382039,437269,1.947267979351963e-05,3.30055887925489e-05,6.480048073335779e-06,3.948563686588468e-05,2.001295707236505e-05,3.30055887925489e-05,6.480048073335779e-06,3.948563686588468e-05,2.001295707236505e-05,0.0,0.0,0,0,0,0,,,26,26,26
5e-09,4.999992253736455e-09,5.000000914401762e-09,True,12253883,12253903,803588,1.708325438176672e-05,2.2789107071924167e-05,8.16755875448854e-06,3.095666582641271e-05,1.3873411444645987e-05,2.2789107071924167e-05,8.16755875448854e-06,3.095666582641271e-05,1.3873411444645987e-05,0.0,0.0,0,0,0,0,,,27,27,27
2e-09,1.9999999269941775e-09,2.0000024002960083e-09,True,29093377,29093411,1805089,9.018002268490477e-06,1.409453253293507e-05,3.4849980744284937e-06,1.7579530607363564e-05,8.561528338873087e-06,1.409453253293507e-05,3.4849980744284937e-06,1.7579530607363564e-05,8.561528338873087e-06,0.0,0.0,0,0,0,0,,,28,28,28
1e-09,9.999999937684279e-10,1.0000007097545057e-09,True,56048351,56048389,3341013,5.2226264402044364e-06,9.69447301087393e-06,1.3649859872343407e-06,1.1059458998108271e-05,5.836832557903835e-06,9.69447301087393e-06,1.3649859872343407e-06,1.1059458998108271e-05,5.836832557903835e-06,0.0,0.0,0,0,0,0,,,29,29,29
