epsilon,last_prime,prime_count,beta_error_e,true_deficit_a,bridge_b,total_a_plus_b,margin_vs_e,c_beta_actual,c_reserve_actual,first_unit_prime,first_unit_over_sqrt_last,last_nonunit_prime,max_exponent,log_n_minus_last_prime
0.001,181,42,0.01822172732684213,0.018019079199661874,0.011600323390995754,0.02961940259065763,0.0113976752638155,1.2744025483233827,2.0715402806925844,19,1.4122588778696161,17,9,11.3184147975403
0.0005,337,68,0.008638265432628245,0.011317049645741862,0.004491743941966551,0.01580879358770841,0.007170528155080166,0.9229340485284059,1.6890513474085718,29,1.5797306610382456,23,10,8.946470278452693
0.0002,751,133,0.006010177802896477,0.008186709650321443,0.0026880284016130756,0.010874738051934518,0.004864560249038041,1.090579886817588,1.9732811545332487,37,1.3501491755623294,31,11,13.504660227418299
0.0001,1381,221,0.0033852104769158675,0.004853384622915941,0.0017040728258801503,0.0065574574487960915,0.003172246971880224,0.90960877071211,1.761994076785029,53,1.4261953965695706,47,12,17.135809789211862
5e-05,2549,373,0.002224799495487151,0.0034271268166228388,0.00097993437174505,0.0044070611883678884,0.0021822616928807376,0.8810149582167339,1.7451850544753726,71,1.4062852802775487,67,13,19.676960710914955
2e-05,5749,757,0.0017024777119707402,0.001890158350122061,0.001137544783806851,0.003027703133928912,0.0013252254219581717,1.1174652598627748,1.9873112261932258,107,1.4111969311794106,103,15,56.92533787919001
1e-05,10753,1311,0.001285610004888138,0.0013371385764206468,0.0008068342759826399,0.002143972852403287,0.0008583628475151489,1.237541047739375,2.0638097090095386,149,1.4368831287336337,139,16,80.87286075130032
5e-06,20173,2282,0.0006738254632785434,0.0009256199945012035,0.00035330226041898824,0.0012789222549201918,0.0006050967916416483,0.9486332728659115,1.8005080997131648,197,1.3870144381738683,193,17,70.78155750500082
2e-06,46511,4808,0.00034999484013065185,0.0005486882168572428,0.000157114264083189,0.0007058024809404317,0.0003558076408097799,0.811231257535608,1.6359356439978383,307,1.4235100477838427,293,18,78.60992031226488
1e-06,87833,8529,0.0003033931804115042,0.0003877181764088573,0.0001623586657242228,0.0005500768421330801,0.0002466836617215759,1.0235257085004952,1.8557364697859473,409,1.3800488187261104,401,19,162.49273415798962
5e-07,166357,15201,0.0001494894195062102,0.0002719372118436677,4.0977180079412866e-05,0.00031291439192308054,0.00016342497241687035,0.73299969582943,1.5343303550037573,563,1.3803456625088504,557,20,81.9731876689766
2e-07,388489,32947,8.614145524576955e-05,0.00016139347919995564,2.453785521860239e-05,0.00018593133441855802,9.978987917278847e-05,0.6910043698443578,1.4914928498439308,863,1.3845907711751038,859,21,122.7067515294766
1e-07,739951,59528,9.401787205920442e-05,0.00011231799313525985,5.123215006016196e-05,0.00016355014319542182,6.95322711362174e-05,1.0929661578412093,1.9012850185559966,1193,1.3868802479550837,1187,22,512.5094101824798
5e-08,1412351,107977,5.8854896458626627e-05,7.609304721178188e-05,3.0321515490463005e-05,0.00010641456270224488,4.7559666243618255e-05,0.9904685152968971,1.790849704404026,1657,1.3942838197321283,1637,23,606.5688818371855
2e-08,3329267,238857,4.845955427112969e-05,4.7799504894335265e-05,2.9515934104028534e-05,7.73154389983638e-05,2.885588472723411e-05,1.3279246279114378,2.1186549713041405,2531,1.3871321324809174,2521,25,1476.1399235334247
1e-08,6382007,437269,1.947267979351963e-05,3.300558879254877e-05,6.480048073113736e-06,3.948563686566251e-05,2.0012957072142876e-05,0.7708066488055078,1.562999635956698,3511,1.3897996288443089,3499,26,648.0373705569655
5e-09,12253883,803588,1.708325438176672e-05,2.278910707192386e-05,8.167558755154668e-06,3.0956665827078524e-05,1.3873411445311802e-05,0.9760310676073061,1.7686716430924745,4861,1.3886370754882784,4831,27,1633.6269404049963
2e-09,29093377,1805089,9.018002268490477e-06,1.4094532532934954e-05,3.484998075094625e-06,1.757953060802958e-05,8.561528339539102e-06,0.8359547089776125,1.6295949985226947,7487,1.3880680751269907,7481,28,1742.5521357394755
1e-09,56048351,3341013,5.2226264402044364e-06,9.69447301087475e-06,1.364985988344562e-06,1.1059458999219313e-05,5.836832559014876e-06,0.6976012194558042,1.4772437149601798,10399,1.389025307037534,10391,29,1365.0025603547692
