last_prime,cutoff_y,alpha,block_prime_count,beta_error_E_x,beta_error_E_y,q_exact,decomposition_error,raw_block_log_product,main_loglog_increment,block_mean_log_factor,block_second_central_moment
283,13,0.5,55,0.01684429341014204,0.13210500763779465,-0.11526071422765172,8.881784197001252e-16,0.6736499124796096,0.7889106267072613,0.012248180226901993,0.00842232781537975
283,67,0.75,42,0.01684429341014204,0.02970539581690823,-0.012861102406765301,8.881784197001252e-16,0.28178706713241486,0.29464816953918016,0.006709215884105116,0.00037056246111922473
283,157,0.9,24,0.01684429341014204,0.016867563217261905,-2.326980711950255e-05,3.608224830031759e-16,0.11020181942130024,0.11022508922841974,0.00459174247588751,1.5716926321663702e-05
1009,31,0.5,158,0.0035700198269075223,0.06734645433483655,-0.06377643450792703,1.9984014443252818e-15,0.6364424780278571,0.7002189125357842,0.0040281169495434,0.003605877992718766
1009,179,0.75,128,0.0035700198269075223,0.014821226329183368,-0.01125120650227468,1.1657341758564144e-15,0.2764598703937673,0.287711076896042,0.002159842737451307,0.00016306219240781581
1009,503,0.9,73,0.0035700198269075223,0.009200895776597662,-0.005630875949689765,3.7470027081099033e-16,0.10044528802626418,0.10607616397595394,0.0013759628496748518,5.2717867168335445e-06
10007,97,0.5,1205,0.0012549829789647582,0.019863750822351145,-0.018608767843376284,1.0103029524088925e-14,0.6812504879504271,0.6998592557938034,0.0005653531020335495,0.0014338872482767785
10007,997,0.75,1062,0.0012549829789647582,0.004309704913636692,-0.003054721934663829,8.104628079763643e-15,0.2851383644238011,0.2881930863584649,0.0002684918685723174,4.0693586158091755e-05
10007,3967,0.9,681,0.0012549829789647582,0.002282521675660565,-0.0010275386966909078,4.898859096158503e-15,0.10483620681796113,0.10586374551465204,0.00015394450340376083,1.182042820577842e-06
100003,313,0.5,9528,0.0003116014172652726,0.012256402663000099,-0.011944801245732495,2.3314683517128287e-15,0.682988840143905,0.6949336413896375,7.168228800838634e-05,0.0004107390626522112
100003,5623,0.75,8854,0.0003116014172652726,0.0011005795253509199,-0.0007889781080903657,-4.718447854656915e-15,0.2869042111684798,0.28769318927657017,3.2403909099670185e-05,8.497283806967799e-06
100003,31607,0.9,6192,0.0003116014172652726,0.0004093467082495472,-9.774529099539075e-05,-1.111610803405938e-14,0.1053135380425082,0.1054112833335036,1.7008000329862437e-05,2.0753637895554944e-07
199999,443,0.5,17898,0.00018355335482400648,0.008753854855766852,-0.008570301500947064,-4.218847493575595e-15,0.6861287954660799,0.6946990969670269,3.8335500919995524e-05,0.0002873606366178681
199999,9439,0.75,16814,0.00018355335482400648,0.001446548413226889,-0.0012629950584159833,-1.3100631690576847e-14,0.28663160770825824,0.2878946027666742,1.7047199221378507e-05,5.174977082066911e-06
199999,59009,0.9,12020,0.00018355335482400648,0.0004581877366187648,-0.0002746343818157415,-2.098321516541546e-14,0.10508730382440046,0.1053619382062162,8.742704145124831e-06,1.1970284824093513e-07
1000003,997,0.5,78331,3.972120678508162e-05,0.004309704913636692,-0.0042699837068689295,-1.7319479184152442e-14,0.6893124558463989,0.6935824395532678,8.7999956064189e-06,0.00012092342299645196
1000003,31607,0.75,75098,3.972120678508162e-05,0.0004093467082495472,-0.00036962550149405304,-2.958744360626042e-14,0.287360826048445,0.28773045154993904,3.826477749719633e-06,1.6335077102024183e-06
1000003,251179,0.9,56367,3.972120678508162e-05,0.00016044373317436467,-0.00012072252639284964,-3.566591466608315e-15,0.1052430978604915,0.10536382038688435,1.8671048283657372e-06,3.327877105154776e-08
1999993,1409,0.5,148710,4.994729682339383e-05,0.00203804003268937,-0.001988092735835556,3.042011087472929e-14,0.6916681008472999,0.6936561935831355,4.651120306955147e-06,8.393633867818855e-05
1999993,53173,0.75,143507,4.994729682339383e-05,0.0003859873675136072,-0.0003360400706730049,1.7208456881689926e-14,0.2873630018165695,0.2876990418872425,2.0024319497764533e-06,9.821947957888197e-07
1999993,468719,0.9,109804,4.994729682339383e-05,7.65912510338751e-05,-2.664395416215881e-05,4.832245714680994e-14,0.10533617637828184,0.105362820332444,9.593109210801232e-07,1.902888969274163e-08
