family,label,last_prime,prime_count,log_n,bridge_log_n_minus_pk,max_exponent,j1_count,beta_error_E,beta_required_eta,true_deficit_A,rosser_eta_half,rosser_eta_one,mvdc_requirement_margin,rosser_half_margin,rosser_one_margin,sigma_over_n_over_egamma_log_pk,robin_margin
floor_log_lcm,pk=283,283,61,290.7189494890932,7.718949489093177,8,55,0.01684429341014204,0.01684429341014204,0.025113410384557933,0.015566420603657287,0.030894237222715726,0.008269116974415892,0.009546989780900647,-0.0057808268381577925,0.9917649781298262,0.13073155647987988
primorial,pk=283,283,61,271.3448394663177,-11.655160533682306,1,61,0.01684429341014204,0.01684429341014204,0.4971977614976373,0.015566420603657287,0.030894237222715726,0.48035346808749524,0.48163134089398,0.46630352427492155,0.6185647102748135,3.760407152276371
all_j2,pk=283,283,61,542.6896789326354,259.6896789326354,2,0,0.01684429341014204,0.01684429341014204,0.18403327234553993,0.015566420603657287,0.030894237222715726,0.1671889789353979,0.16846685174188264,0.1531390351228242,0.8460397125447313,2.707702758468157
floor_log_lcm,pk=1009,1009,169,1003.597627267529,-5.402372732471008,9,158,0.0035700198269075223,0.0035700198269075223,0.00995521109917836,0.010397060958558677,0.020687134441995634,0.006385191272270838,-0.0004418498593803163,-0.010731923342817274,0.9936351507426077,0.06884785012430328
primorial,pk=1009,1009,169,963.1619801404125,-45.83801985958746,1,169,0.0035700198269075223,0.0035700198269075223,0.4975742948965884,0.010397060958558677,0.020687134441995634,0.49400427506968086,0.4871772339380297,0.47688716045459273,0.6101781745308901,4.719473326243135
all_j2,pk=1009,1009,169,1926.323960280825,917.3239602808251,2,0,0.0035700198269075223,0.0035700198269075223,0.18403410905461162,0.010397060958558677,0.020687134441995634,0.1804640892277041,0.17363704809605296,0.163346974612616,0.8348826614397733,3.1858457994387024
floor_log_lcm,pk=10007,10007,1230,10022.607733390201,15.607733390201247,13,1205,0.0012549829789647582,0.0012549829789647582,0.00241136957712376,0.005875922926122801,0.011717520974167249,0.0011563865981590016,-0.0034645533489990415,-0.009306151397043489,0.9988442817591718,0.021735911443176548
primorial,pk=10007,10007,1230,9905.202419284073,-101.79758071592732,1,1230,0.0012549829789647582,0.0012549829789647582,0.4976904967556276,0.005875922926122801,0.011717520974167249,0.49643551377666284,0.4918145738295048,0.48597297578146037,0.6086964876319296,6.401330331737189
all_j2,pk=10007,10007,1230,19810.404838568145,9803.404838568145,2,0,0.0012549829789647582,0.0012549829789647582,0.18403417488074142,0.005875922926122801,0.011717520974167249,0.18277919190177666,0.17815825195461862,0.17231665390657416,0.8329520579926266,3.9568442790005047
floor_log_lcm,pk=100003,100003,9593,100063.0769811225,60.07698112250364,16,9528,0.0003116014172652726,0.0003116014172652726,0.0005577817493509005,0.003765117323086098,0.0075161116956597735,0.0002461803320856279,-0.0032073355737351973,-0.006958329946308873,0.9997538499678058,0.006117067871002746
primorial,pk=100003,100003,9593,99696.90222407706,-306.0977759229427,1,9593,0.0003116014172652726,0.0003116014172652726,0.4976995003217285,0.003765117323086098,0.0075161116956597735,0.4973878989044632,0.4939343829986424,0.4901833886260687,0.608117050117398,8.03025953116872
all_j2,pk=100003,100003,9593,199393.80444815411,99390.80444815411,2,0,0.0003116014172652726,0.0003116014172652726,0.18403417538733363,0.003765117323086098,0.0075161116956597735,0.18372257397006836,0.18026905806424753,0.17651806369167386,0.8321666364918998,4.6705768035206425
floor_log_lcm,pk=199999,199999,17984,200026.93879770528,27.938797705282923,17,17898,0.00018355335482400648,0.00018355335482400648,0.0003687350938574515,0.003350354299794591,0.006689521196987624,0.00018518173903344504,-0.0029816192059371393,-0.006320786103130172,0.9998148354060464,0.004274246958498651
primorial,pk=199999,199999,17984,199518.96518462285,-480.03481537714833,1,17984,0.00018355335482400648,0.00018355335482400648,0.4976999223017327,0.003350354299794591,0.006689521196987624,0.4975163689469087,0.49434956800193813,0.4910104011047451,0.6080389303122924,8.516910658444987
all_j2,pk=199999,199999,17984,399037.9303692457,199038.9303692457,2,0,0.00018355335482400648,0.00018355335482400648,0.1840341753905097,0.003350354299794591,0.006689521196987624,0.1838506220356857,0.18068382109071512,0.17734465419352208,0.8320600859857644,4.881260608240911
floor_log_lcm,pk=1000003,1000003,78499,999600.413009189,-402.58699081104714,19,78331,3.972120678508162e-05,3.972120678508162e-05,0.00014324640812951679,0.0026161805785329104,0.0052255346118378985,0.00010352520134443517,-0.0024729341704033936,-0.005082288203708382,0.9998964801572043,0.0018300749729434074
