y_prime,x_prime,block_prime_count,route_mu,scale_sqrt_x_log_x,actual_constant,c_req_actual_reserve,ca_reserve_actual,ca_deficit_actual,ca_bridge_log,theta_phi,theta_phi_over_deficit,c_req_theta,theta_margin,theta_drop_from_actual_reserve,passes_theta_threshold
3329267,6382007,198412,2.1378156561953322e-07,39584.004717318196,0.7709932827865524,1.5631810605906664,3.948563686566251e-05,3.3005588792548774e-05,6.480048073113736e-06,1.4991060232097307e-05,0.45419763078068875,0.8500937246285815,0.07910044184202902,0.713087335962085,True
6382007,12253883,366319,1.1135232808531835e-07,57133.78995567978,0.9761660390897731,1.768795712392894,3.0956665827078524e-05,2.2789107071923855e-05,8.167558755154668e-06,1.0901959247563795e-05,0.47838466040624256,1.0896378297979832,0.11347179070821012,0.6791578825949107,True
12253883,29093377,1001501,5.154468223950051e-08,92698.43631537951,0.8360425509574038,1.6296395078460582,1.757953060802958e-05,1.4094532532934954e-05,3.484998075094625e-06,7.0902174472688345e-06,0.5030473646927269,0.9803504184771864,0.14430786751978264,0.6492890893688718,True
29093377,56048351,1535924,2.4378487519891262e-08,133572.87323588418,0.697664614575961,1.4772604428891802,1.1059458999219313e-05,9.69447301087475e-06,1.364985988344562e-06,5.094634856943261e-06,0.5255195255305127,0.8628468292700313,0.16518221469407035,0.6144136136191489,True
56048351,78580847,1250433,1.5004702753891608e-08,161154.93046734156,0.8869932294885514,1.6575382932364318,1.0285586007341767e-05,8.092726487615852e-06,2.1928595197259153e-06,4.293098826159592e-06,0.5304885606512516,1.0452095524648501,0.15821632297629873,0.6123287407715816,True
78580847,108115627,1609755,1.0808410060618063e-08,192347.13539016366,0.9965451656228108,1.789141156079067,9.302106232377678e-06,6.770274869023217e-06,2.5318313633544617e-06,3.650828533093109e-06,0.5392437683434607,1.1891245828743435,0.19257941725153271,0.6000165732047236,True
108115627,175589599,3596789,7.194614552895661e-09,251552.90709550085,1.253113755947308,2.0449761080357964,8.129535172421618e-06,5.158820800252954e-06,2.9707143721686644e-06,2.8505051528565114e-06,0.5525497518186213,1.464312592261538,0.2111988363142301,0.5806635157742583,True
175589599,258144067,4302127,4.671341857013113e-09,311199.5136744238,1.0715088943662818,1.8569731662255515,5.967197831652653e-06,4.178624470125139e-06,1.7885733615275134e-06,2.338233109575453e-06,0.5595700514110638,1.2842442671764656,0.21273537281018373,0.572728899049086,True
258144067,339396977,4163803,3.369392241421443e-09,361871.80666229565,0.6638234834114458,1.4385634392578612,3.975678114617776e-06,3.59941443213936e-06,3.762636824784161e-07,2.033062180850443e-06,0.5648313688740937,0.8717447183045522,0.20792123489310643,0.566818720953309,True
339396977,499283831,8056199,2.415619279773298e-09,447534.1633051186,1.2728763193276784,2.0299170890042624,4.536000954405408e-06,2.9135976676166803e-06,1.6224032867887278e-06,1.668148599328925e-06,0.5725391044445298,1.4725360809425418,0.19965976161486343,0.5573810080617205,True
499283831,701361907,9999734,1.6826224769373872e-09,539424.7537340234,1.1454765688654645,1.9171367807344601,3.55402956217819e-06,2.4136291883770636e-06,1.1404003738011264e-06,1.399074000667522e-06,0.5796557347768347,1.3698605975338056,0.22438402866834117,0.5472761832006545,True
701361907,966679613,12918429,1.2098317183577559e-09,643263.2007399809,0.910341607596076,1.6998109583993555,2.642312044415084e-06,2.023444006806442e-06,6.188680376086419e-07,1.1870351357433615e-06,0.5866409605358112,1.1617799102210773,0.25143830262500133,0.5380310481782782,True
